Processed in Sink as enumerable: (UserId, user:471; photo:72660; lat:; long:, 1642352927250)
Processed in Sink as enumerable: (UserId, user:8683; photo:186827; lat:-8.9; long:33.45, 1642352927283)
Processed in Sink as enumerable: (UserId, user:9006; photo:186827; lat:; long:, 1642352927283)
Processed in Sink as enumerable: (UserId, user:8685; photo:186827; lat:; long:, 1642352927283)
Processed in Sink as enumerable: (UserId, user:8686; photo:186827; lat:; long:, 1642352927283)
Processed in Sink as enumerable: (UserId, user:8687; photo:186827; lat:; long:, 1642352927283)
Processed in Sink as enumerable: (UserId, user:8689; photo:186827; lat:; long:, 1642352927283)
Processed in Sink as enumerable: (UserId, user:7898; photo:110475; lat:53.30528; long:14.668333, 1642352927296)
Processed in Sink as enumerable: (UserId, user:8014; photo:110475; lat:; long:, 1642352927296)
Processed in Sink as enumerable: (UserId, user:7778; photo:110475; lat:; long:, 1642352927296)
Processed in Sink as enumerable: (UserId, user:7865; photo:110475; lat:; long:, 1642352927296)
Processed in Sink as enumerable: (UserId, user:7867; photo:110475; lat:; long:, 1642352927296)
Processed in Sink as enumerable: (UserId, user:6216; photo:166851; lat:39; long:-77, 1642352927302)
Processed in Sink as enumerable: (UserId, user:8624; photo:72230; lat:9.75; long:79.95, 1642352927303)
Processed in Sink as enumerable: (UserId, user:9483; photo:72230; lat:; long:, 1642352927303)
Processed in Sink as enumerable: (UserId, user:9493; photo:72230; lat:; long:, 1642352927303)
Processed in Sink as enumerable: (UserId, user:9495; photo:72230; lat:; long:, 1642352927303)
Processed in Sink as enumerable: (UserId, user:9496; photo:72230; lat:; long:, 1642352927303)
Processed in Sink as enumerable: (UserId, user:9512; photo:72230; lat:; long:, 1642352927303)
Processed in Sink as enumerable: (UserId, user:5712; photo:10760; lat:38.416668; long:77.25, 1642352927310)
Processed in Sink as enumerable: (UserId, user:5719; photo:10760; lat:; long:, 1642352927310)
Processed in Sink as enumerable: (UserId, user:5720; photo:10760; lat:; long:, 1642352927310)
Processed in Sink as enumerable: (UserId, user:5721; photo:10760; lat:; long:, 1642352927310)
Processed in Sink as enumerable: (UserId, user:5374; photo:10760; lat:; long:, 1642352927310)
Processed in Sink as enumerable: (UserId, user:3126; photo:112037; lat:28.661667; long:77.21083, 1642352927316)
Processed in Sink as enumerable: (UserId, user:3011; photo:112037; lat:; long:, 1642352927316)
Processed in Sink as enumerable: (UserId, user:3014; photo:112037; lat:; long:, 1642352927316)
Processed in Sink as enumerable: (UserId, user:3071; photo:112037; lat:; long:, 1642352927316)
Processed in Sink as enumerable: (UserId, user:3073; photo:112037; lat:; long:, 1642352927316)
Processed in Sink as enumerable: (UserId, user:3075; photo:112037; lat:; long:, 1642352927316)
Processed in Sink as enumerable: (UserId, user:3231; photo:112037; lat:; long:, 1642352927316)
Processed in Sink as enumerable: (UserId, user:6868; photo:48167; lat:46; long:16, 1642352927326)
Processed in Sink as enumerable: (UserId, user:2983; photo:153986; lat:22.769444; long:86.18, 1642352927329)
Processed in Sink as enumerable: (UserId, user:2871; photo:153986; lat:; long:, 1642352927329)
Processed in Sink as enumerable: (UserId, user:2876; photo:153986; lat:; long:, 1642352927329)
Processed in Sink as enumerable: (UserId, user:2877; photo:153986; lat:; long:, 1642352927329)
Processed in Sink as enumerable: (UserId, user:5388; photo:158748; lat:13; long:-8, 1642352927346)
Processed in Sink as enumerable: (UserId, user:5298; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:5346; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:5347; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:5348; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:5469; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:4874; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:4878; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:4976; photo:158748; lat:; long:, 1642352927346)
Processed in Sink as enumerable: (UserId, user:4710; photo:180604; lat:7; long:80, 1642352927393)
Processed in Sink as enumerable: (UserId, user:4640; photo:180604; lat:; long:, 1642352927393)
Processed in Sink as enumerable: (UserId, user:4650; photo:180604; lat:; long:, 1642352927393)
Processed in Sink as enumerable: (UserId, user:4711; photo:180604; lat:; long:, 1642352927393)
Processed in Sink as enumerable: (UserId, user:3806; photo:168671; lat:-6.39; long:106.83, 1642352927399)
Processed in Sink as enumerable: (UserId, user:4402; photo:168671; lat:; long:, 1642352927399)
Processed in Sink as enumerable: (UserId, user:4405; photo:168671; lat:; long:, 1642352927399)
Processed in Sink as enumerable: (UserId, user:2805; photo:133917; lat:11.783334; long:92.65, 1642352927416)
Processed in Sink as enumerable: (UserId, user:2706; photo:133917; lat:; long:, 1642352927416)
Processed in Sink as enumerable: (UserId, user:2756; photo:133917; lat:; long:, 1642352927416)
Processed in Sink as enumerable: (UserId, user:2757; photo:133917; lat:; long:, 1642352927416)
Processed in Sink as enumerable: (UserId, user:2901; photo:133917; lat:; long:, 1642352927416)
Processed in Sink as enumerable: (UserId, user:2902; photo:133917; lat:; long:, 1642352927416)
Processed in Sink as enumerable: (UserId, user:2371; photo:35958; lat:50; long:14, 1642352927423)
Processed in Sink as enumerable: (UserId, user:2289; photo:35958; lat:; long:, 1642352927423)
Processed in Sink as enumerable: (UserId, user:2290; photo:35958; lat:; long:, 1642352927423)
Processed in Sink as enumerable: (UserId, user:2338; photo:35958; lat:; long:, 1642352927423)
Processed in Sink as enumerable: (UserId, user:2433; photo:35958; lat:; long:, 1642352927423)
Processed in Sink as enumerable: (UserId, user:2434; photo:35958; lat:; long:, 1642352927423)
Processed in Sink as enumerable: (UserId, user:3008; photo:134673; lat:53; long:13, 1642352927434)
Processed in Sink as enumerable: (UserId, user:8022; photo:95394; lat:56; long:56, 1642352927435)
Processed in Sink as enumerable: (UserId, user:7899; photo:95394; lat:; long:, 1642352927435)
Processed in Sink as enumerable: (UserId, user:7900; photo:95394; lat:; long:, 1642352927435)
Processed in Sink as enumerable: (UserId, user:7902; photo:95394; lat:; long:, 1642352927435)
Processed in Sink as enumerable: (UserId, user:5990; photo:89643; lat:39.391388; long:76.04, 1642352927441)
Processed in Sink as enumerable: (UserId, user:5573; photo:89643; lat:; long:, 1642352927441)
Processed in Sink as enumerable: (UserId, user:5575; photo:89643; lat:; long:, 1642352927441)
Processed in Sink as enumerable: (UserId, user:9943; photo:125510; lat:11.3; long:106.1, 1642352927449)
Processed in Sink as enumerable: (UserId, user:5435; photo:125510; lat:; long:, 1642352927449)
Processed in Sink as enumerable: (UserId, user:5515; photo:125510; lat:; long:, 1642352927449)
Processed in Sink as enumerable: (UserId, user:5622; photo:125510; lat:; long:, 1642352927449)
Processed in Sink as enumerable: (UserId, user:5627; photo:125510; lat:; long:, 1642352927449)
Processed in Sink as enumerable: (UserId, user:6386; photo:125510; lat:; long:, 1642352927449)
Processed in Sink as enumerable: (UserId, user:4703; photo:91983; lat:18.216667; long:-100.51667, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4798; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4799; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4800; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4801; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4360; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4635; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4654; photo:91983; lat:; long:, 1642352927462)
Processed in Sink as enumerable: (UserId, user:4797; photo:147059; lat:5; long:-74, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4701; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4702; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4703; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4751; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4752; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4938; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:4945; photo:147059; lat:; long:, 1642352927492)
Processed in Sink as enumerable: (UserId, user:878; photo:148428; lat:57; long:24, 1642352927620)
Processed in Sink as enumerable: (UserId, user:874; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:9709; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:9712; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:9714; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:9721; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:829; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:1247; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:1257; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:1542; photo:148428; lat:; long:, 1642352927620)
Processed in Sink as enumerable: (UserId, user:3378; photo:82663; lat:6; long:-11, 1642352927692)
Processed in Sink as enumerable: (UserId, user:3449; photo:82663; lat:; long:, 1642352927692)
